time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
343.781054030	480	379	0	0	0	0	0	0
343.798379800	484	379	0	0	0	0	0	0
343.815705570	488	379	0	0	0	0	0	0
343.833031340	492	379	0	0	0	0	0	0
343.850357110	492	379	0	0	0	0	0	0
Pause
344.850357110	492	379	0	0	0	0	0	0
344.867682880	496	379	0	0	0	0	0	0
344.885008650	500	379	0	0	0	0	0	0
344.902334420	499	378	0	0	0	0	0	0
344.919660190	495	377	0	0	0	0	0	0
344.936985960	491	377	0	0	0	0	0	0
344.954311730	487	377	0	0	0	0	0	0
344.971637500	486	377	0	0	0	0	0	0
344.988963270	490	376	0	0	0	0	0	0
345.006289040	494	376	0	0	0	0	0	0
345.023614810	498	376	0	0	0	0	0	0
345.040940580	502	377	0	0	0	0	0	0
345.058266350	506	377	0	0	0	0	0	0
345.075592120	510	377	0	0	0	0	0	0
345.092917890	510	377	0	0	0	0	0	0
Pause
346.092917890	510	377	0	0	0	0	0	0
346.110243660	514	377	0	0	0	0	0	0
346.127569430	518	377	0	0	0	0	0	0
346.144895200	522	377	0	0	0	0	0	0
346.162220970	526	377	0	0	0	0	0	0
346.179546740	530	377	0	0	0	0	0	0
346.196872510	534	378	0	0	0	0	0	0
346.214198280	538	378	0	0	0	0	0	0
346.231524050	542	378	0	0	0	0	0	0
346.248849820	546	379	0	0	0	0	0	0
346.266175590	550	380	0	0	0	0	0	0
346.283501360	554	380	0	0	0	0	0	0
346.300827130	558	380	0	0	0	0	0	0
346.318152900	562	381	0	0	0	0	0	0
346.335478670	562	381	0	0	0	0	0	0
Pause
347.335478670	562	381	0	0	0	0	0	0
347.352804440	566	382	0	0	0	0	0	0
347.370130210	570	382	0	0	0	0	0	0
347.387455980	574	382	0	0	0	0	0	0
347.404781750	578	383	0	0	0	0	0	0
347.422107520	581	384	0	0	0	0	0	0
347.439433290	585	384	0	0	0	0	0	0
347.456759060	589	384	0	0	0	0	0	0
347.474084830	592	386	0	0	0	0	0	0
347.491410600	596	387	0	0	0	0	0	0
347.508736370	600	387	0	0	0	0	0	0
347.526062140	604	387	0	0	0	0	0	0
347.543387910	607	388	0	0	0	0	0	0
347.560713680	611	389	0	0	0	0	0	0
347.578039450	611	389	0	0	0	0	0	0
Pause
348.578039450	611	389	0	0	0	0	0	0
348.595365220	614	390	0	0	0	0	0	0
348.612690990	618	392	0	0	0	0	0	0
348.630016760	622	392	0	0	0	0	0	0
348.647342530	626	392	0	0	0	0	0	0
348.664668300	628	394	0	0	0	0	0	0
348.681994070	632	394	0	0	0	0	0	0
348.699319840	636	394	0	0	0	0	0	0
348.716645610	640	395	0	0	0	0	0	0
348.733971380	644	396	0	0	0	0	0	0
348.751297150	646	399	0	0	0	0	0	0
348.768622920	642	399	0	0	0	0	0	0
348.785948690	639	400	0	0	0	0	0	0
348.803274460	635	400	0	0	0	0	0	0
348.820600230	635	401	0	0	0	0	0	0
Pause
349.820600230	154	385	0	0	0	0	0	0
349.837926000	155	381	0	0	0	0	0	0
349.855251770	157	377	0	0	0	0	0	0
349.872577540	159	374	0	0	0	0	0	0
349.889903310	161	371	0	0	0	0	0	0
